date,position,song,artist,popularity,duration_ms,album_type,total_tracks,release_date,is_explicit,album_cover_url
18-05-2023,1,Ella Baila Sola,Eslabon Armado,89,165671,album,16,28-04-2023,FALSE,https://i.scdn.co/image/ab67616d0000b273dfddf1cb31b85a6d28b7d91f
18-05-2023,2,un x100to,Grupo Frontera & Bad Bunny,99,194563,single,1,17-04-2023,FALSE,https://i.scdn.co/image/ab67616d0000b273716c0b0ad51594ff788b5f06
18-05-2023,3,La Bebe - Remix,Yng Lvcas & Peso Pluma,99,234352,single,2,17-03-2023,TRUE,https://i.scdn.co/image/ab67616d0000b273a04be3ad7c8c67f4109111a9
18-05-2023,4,Cupid - Twin Ver.,FIFTY FIFTY,97,174253,single,3,24-02-2023,FALSE,https://i.scdn.co/image/ab67616d0000b27337c0b3670236c067c8e8bbcb
18-05-2023,5,Flowers,Miley Cyrus,91,200600,album,13,10-03-2023,FALSE,https://i.scdn.co/image/ab67616d0000b27358039b5147731b6e52202e46
18-05-2023,6,Daylight,David Kushner,96,212953,single,1,14-04-2023,FALSE,https://i.scdn.co/image/ab67616d0000b27395ca6a9b4083a86c149934ae
18-05-2023,7,Kill Bill,SZA,94,153946,album,23,08-12-2022,FALSE,https://i.scdn.co/image/ab67616d0000b2730c471c36970b9406233842a5
18-05-2023,8,Tattoo,Loreen,89,183374,single,1,25-02-2023,FALSE,https://i.scdn.co/image/ab67616d0000b2732b0ba87db609976eee193bd6
18-05-2023,9,As It Was,Harry Styles,92,167303,album,13,20-05-2022,FALSE,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0
18-05-2023,10,TQG,KAROL G,96,197933,album,17,24-02-2023,TRUE,https://i.scdn.co/image/ab67616d0000b27382de1ca074ae63cb18fce335
18-05-2023,11,Cha Cha Cha,Käärijä,86,175161,single,1,17-01-2023,FALSE,https://i.scdn.co/image/ab67616d0000b273e9973a2290bd5d88c6aad387
18-05-2023,12,Classy 101,Feid & Young Miko,95,195986,single,1,31-03-2023,TRUE,https://i.scdn.co/image/ab67616d0000b27329ebee2b5fb008871fcd201a
18-05-2023,13,Acróstico,Shakira,81,170785,single,1,11-05-2023,FALSE,https://i.scdn.co/image/ab67616d0000b273bd6bbd68940f38c764524b63
18-05-2023,14,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,96,221520,album,15,02-12-2022,TRUE,https://i.scdn.co/image/ab67616d0000b27313e54d6687e65678d60466c2
18-05-2023,15,See You Again (feat. Kali Uchis),"Tyler, The Creator",94,180386,album,14,21-07-2017,TRUE,https://i.scdn.co/image/ab67616d0000b2738940ac99f49e44f59e6f7fb3
18-05-2023,16,BESO,ROSALÍA & Rauw Alejandro,96,194543,single,3,24-03-2023,FALSE,https://i.scdn.co/image/ab67616d0000b2734d6cf0d0d5e32ca4fa3a59e1
18-05-2023,17,Die For You (with Ariana Grande) - Remix,The Weeknd,88,232857,album,21,14-03-2023,FALSE,https://i.scdn.co/image/ab67616d0000b2738ad8f5243d6534e03b656c8b
18-05-2023,18,PRC,Peso Pluma & Natanael Cano,96,184066,single,1,23-01-2023,TRUE,https://i.scdn.co/image/ab67616d0000b2737be314e2f66a9f7ee732395e
18-05-2023,19,Calm Down (with Selena Gomez),Rema,78,239317,album,22,27-04-2023,FALSE,https://i.scdn.co/image/ab67616d0000b273963265801aa5c9740ad159b7
